"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1793","Chromium","tests/example.spec.ts","Hooks","","","Screenshots",""
"passed","Fri Feb 11 20:47:51 GMT 2022","Fri Feb 11 20:47:52 GMT 2022","596","Chromium","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","1282","Webkit","tests/example.spec.ts","Hooks","","","Screenshots",""
"failed","Fri Feb 11 20:48:19 GMT 2022","Fri Feb 11 20:48:19 GMT 2022","241","Webkit","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"failed","Fri Feb 11 20:48:20 GMT 2022","Fri Feb 11 20:48:20 GMT 2022","245","Webkit","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:03 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","2168","Firefox","tests/example.spec.ts","Hooks","","","Screenshots",""
"failed","Fri Feb 11 20:47:58 GMT 2022","Fri Feb 11 20:48:03 GMT 2022","5410","Chromium","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"failed","Fri Feb 11 20:48:05 GMT 2022","Fri Feb 11 20:48:11 GMT 2022","5325","Firefox","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 20:48:05 GMT 2022","Fri Feb 11 20:48:05 GMT 2022","432","Firefox","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"failed","Fri Feb 11 20:48:20 GMT 2022","Fri Feb 11 20:48:21 GMT 2022","240","Webkit","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"broken","Fri Feb 11 20:48:12 GMT 2022","Fri Feb 11 20:48:18 GMT 2022","6066","Firefox","tests/example.spec.ts","Failing Tests","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","333","Chromium","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"failed","Fri Feb 11 20:47:52 GMT 2022","Fri Feb 11 20:47:57 GMT 2022","5199","Chromium","tests/example.spec.ts","Failing Tests","","","Screenshots",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:05 GMT 2022","477","Webkit","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Fri Feb 11 19:55:05 GMT 2022","Fri Feb 11 19:55:06 GMT 2022","402","Firefox","tests/example.spec.ts","Hooks","","","Single element Screenshot",""
"passed","Fri Feb 11 20:47:52 GMT 2022","Fri Feb 11 20:47:52 GMT 2022","284","Chromium","tests/example.spec.ts","Passing Tests","","","Single element Screenshot",""
"failed","Fri Feb 11 20:48:18 GMT 2022","Fri Feb 11 20:48:19 GMT 2022","244","Webkit","tests/example.spec.ts","Passing Tests","","","Screenshots",""
"passed","Fri Feb 11 20:48:03 GMT 2022","Fri Feb 11 20:48:05 GMT 2022","1716","Firefox","tests/example.spec.ts","Passing Tests","","","Screenshots",""
